text,labels
South Korean police detained a group of anti-Japanese protesters in Seoul Friday after stopping their attempt to hold a mock funeral for Japanese Prime Minister Junichiro Koizumi .,O B-gpe O O O O O O O O B-geo B-tim O O O O O O O O O O B-gpe B-per O B-per I-per O
"She steadfastly maintained that she believes progress is being made in Iraq , but she declined to give a timetable for the return home of U.S. troops .",O O O O O O O O O O O B-geo O O O O O O O O O O O O O B-geo O O
"She said President Bush 's foreign policy goals in the next four years include "" spreading freedom and democracy "" around the globe , as well as alliance building .",O O B-per I-per O O O O O O O B-tim O O O O O O O O O O O O O O O O O O
At least 13 people were killed in Indian Kashmir Wednesday in a series of violent incidents involving Indian security forces and militants .,O O O O O O O B-gpe O B-tim O O O O O O O B-gpe O O O O O
Indian officials say several gunbattles erupted when police and soldiers raided suspected rebel hideouts in the Udhampur and Poonch districts .,B-gpe O O O O O O O O O O O O O O B-geo I-geo O B-geo O O
"They say seven militants were killed in the clashes , along with two Indian security personnel .",O O O O O O O O O O O O O B-gpe O O O
"In another incident , India 's military says four youths were killed in crossfire as Indian troops battled militants in the Kupwara district of northern Kashmir .",O O O O B-geo O O O O O O O O O O B-gpe O O O O O B-geo O O O O O
The civilian deaths triggered protests by residents of Kupwara against the security forces .,O O O O O O O O B-geo O O O O O
Indian Prime Minister Manmohan Singh is to hold talks with Kashmiri political leaders on Saturday to try to stop the violence .,B-gpe O O B-per I-per O O O O O B-gpe O O O B-tim O O O O O O O
But several prominent Kashmiri separatists have said they will not attend the talks .,O O O B-gpe O O O O O O O O O O
The American fast food chain KFC is famous around the world for its fried chicken .,O B-gpe O O O B-org O O O O O O O O O O
Hundreds of riot police surrounded about 30 demonstrators who carried an empty coffin and Mr. Koizumi 's picture to a park near the Japanese embassy for the funeral .,O O O O O O O O O O O O O O B-per I-per O O O O O O O B-gpe O O O O O
"KFC stands for Kentucky Fried Chicken and founded by Harlan David Sanders , better know to patrons as Colonel Sanders .",B-org O O B-org I-org I-org O O O B-per I-per I-per O O O O O O B-per I-per O
"In Kabul , Afghanistan , another KFC restaurant is doing a brisk business .",O B-geo O B-geo O O B-org O O O O O O O
But this KFC is short for Kabul Fried Chicken and serves kabobs and pizza alongside the chicken .,O O B-org O O O B-org I-org I-org O O O O O O O O O
"Rahimgul Sarawan reports from Kabul that while this KFC was inspired by Colonel Sanders , that is where the association ends .",B-per I-per O O B-geo O O O B-org O O O B-per I-per O O O O O O O O
Brian Allen narrates .,B-per I-per O O
Israel 's government is set to approve a plan that aims to turn the country into a space superpower .,B-geo O O O O O O O O O O O O O O O O O O O
The Jerusalem Post reported Friday that Prime Minister Benjamin Netanyahu is expected to approve plans designed to increase sales of locally made space platforms to nearly $ 8 billion a year .,O B-art I-art O B-tim O B-per I-per I-per I-per O O O O O O O O O O O O O O O O O O O O O O
"The newspaper said the multi-year plan also includes increased spending on space research and development , focusing on mini-satellites as Israel 's primary market .",O O O O B-tim O O O O O O O O O O O O O O O B-geo O O O O
"The report quotes the head of the Defense Ministry 's Space Division as saying Israel has the capability to carve out at least 5 percent of the international space market , estimated to total $ 250 billion a year .",O O O O O O O B-org I-org I-org I-org I-org O O B-geo O O O O O O O O O O O O O O O O O O O O O O O O O
The report said Israel is in talks with several countries and defense companies about the possibility of space collaboration .,O O O B-org O O O O O O O O O O O O O O O O
"Earlier , the same group burned a coffin and an effigy of Japanese Ambassador Toshiyuki Takano in front of his residence .",O O O O O O O O O O O O B-gpe O B-per I-per O O O O O O
Foreign direct investment in China fell slightly in the first five months of the year .,O O O O B-geo O O O O B-tim I-tim O B-tim O O O
"The ministry of commerce reported Monday that foreign direct investment from January to May slipped 0.8 percent from the same period last year , to $ 22.4 billion .",O O O O O B-tim O O O O B-tim I-tim I-tim I-tim O O O O O O B-tim O O O O O O O O
"Contracted investment , which gives an indication of future inflows , grew 14.88 percent in the same period , to $ 64.97 billion .",O O O O O O O O O O O O O O O O O O O O O O O O
"Although foreign companies continue to build up investments in China , the pace of growth has been slowing .",O O O O O O O O O B-geo O O O O O O O O O
Investments soared in late 2003 through 2004 after slowing during the outbreak of severe acute respiratory syndrome in the spring of 2003 .,O O O O B-tim I-tim I-tim O O O O O O O O O O O O B-tim I-tim I-tim O
The U.S.-led coalition said in a statement Tuesday that its forces killed 43 militants in southern Afghanistan .,O O O O O O O B-tim O O O O O O O O B-geo O
The Afghan and U.S.-led troops battled the militants Sunday in Qalat district of Zabul province .,O B-gpe O O O O O O B-tim O B-geo O O B-geo O O
"The statement said a joint patrol was ambushed with sniper fire , machine guns and heavy weapons from militants in multiple locations .",O O O O O O O O O O O O O O O O O O O O O O O
The coalition said its forces fired back with small arms and rocket propelled grenades .,O O O O O O O O O O O O O O O
They also called in air support .,O O O O O O O
"They also fired flaming arrows , which failed to reach the house .",O O O O O O O O O O O O O
The statement said no Afghan or U.S.-led troops were killed or wounded in the attack .,O O O O B-gpe O O O O O O O O O O O
"Nepal 's Maoist rebels have called off a traffic ban on major roads leading into the capital , Kathmandu , that disrupted supplies to the city for nearly a week .",B-gpe B-org I-org O O O O O O O O O O O O O O O B-per O O O O O O O O O O O O
"The ban was called off Wednesday , after pleas from human rights groups and a mass demonstration this week by city residents demanding an end to the increasingly bloody conflict between Maoist rebels and security forces .",O O O O O B-tim O O O O O O O O O O O O O O O O O O O O O O O O O B-org O O O O O
The rebels imposed the ban last week to protest the alleged killings of rebel activists in government custody and to press for information about those who are missing .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Violence has escalated ahead of a January 13 deadline set by Prime Minister Sher Bahadur Deuba for the Maoists to resume peace talks .,O O O O O O B-tim I-tim O O O B-per O B-per I-per I-per O O B-org O O O O O
The rebels have been fighting since 1996 to replace Nepal 's constitutional monarchy with a communist state .,O O O O O O B-tim O O B-gpe B-org O O O O O O O
"More than 10,000 people have been killed in the violence .",O O O O O O O O O O O
"U.S. Congressman Tom DeLay predicts he will be cleared of a criminal conspiracy charge , and that he will soon be reinstated as majority leader in the House of Representatives .",B-org B-per I-per I-per O O O O O O O O O O O O O O O O O O O O O O O B-org I-org I-org O
"The Republican congressman was speaking on the television program "" Fox News Sunday , "" where he called the indictment against him "" manufactured "" and "" frivolous . """,O O O O O O O O O O B-org I-org B-tim O O O O O O O O O O O O O O O O O
But another Republican lawmaker says he is no longer comfortable with Mr. Delay as majority leader .,O O O O O O O O O O O B-per I-per O O O O
"Anti-Japanese sentiment runs high in South Korea over territorial claims both countries make to a group of small islands controlled by South Korea , and over Tokyo 's approval of history books that critics say downplay Japan 's wartime atrocities .",O O O O O B-geo I-geo O O O O O O O O O O O O O O B-geo I-geo O O O B-geo O O O O O O O O O B-org O O O O
"Speaking on CNN Sunday , Congressman Christopher Shays cited continual acts of Mr. Delay 's that in his words , "" border and sometimes go beyond "" what is ethical .",O O B-org B-tim O B-per I-per I-per O O O O B-per I-per O O O O O O O O O O O O O O O O O
"Mr. DeLay stepped down as majority leader Thursday , after a grand jury in his home state of Texas indicted him for violating a state campaign-finance law .",B-per I-per O O O O O B-tim O O O O O O O O O O B-geo O O O O O O O O O
The allegation centers on the misuse of corporate donations .,O O O O O O O O O O
"Last month , a United Nations conference in Rome discussed the world 's rising food prices .",O O O O B-org I-org O O B-geo O O O O O O O O
The group called for trade barriers to be reduced and food export bans to be lifted .,O O O O O O O O O O O O O O O O O
"The cost of major food commodities has doubled over the past two years with rice , corn and wheat at record highs .",O O O O O O O O O O B-tim I-tim O O O O O O O O O O O
"The Philippines and Haiti , among other countries , have been hard-hit .",O B-org I-org I-org O O O O O O O O O
Some Filipino and Haitian immigrants in the United States are sending food to their families back home .,O B-gpe B-org B-gpe B-org O O B-geo I-geo O O O O O O O O O
VOA 's Deborah Block has the story .,B-org O B-per I-per O O O O
Israeli officials said they plan to make it harder for the Arabic television network al-Jazeera to operate in Israel and the West Bank .,B-gpe O O O O O O O O O O O O O B-org O O O B-geo O O B-org I-org O
Venezuela 's defense minister says his country is considering building unmanned planes and may look to allied countries - such as Iran - for help .,B-gpe O O O O O O O O O O O O O O O O O O O O B-geo O O O O
"Media reports said Israel will not renew the work visas of some Israeli-based al-Jazeera employees , and that the network 's reporters will have less access to news conferences and briefings .",O O O B-geo O O O O O O O O O B-org O O O O O O O O O O O O O O O O O O
"Israeli officials tied the move to the decision last month by Qatar , which owns al-Jazeera , to suspend relations with Israel to protest its offensive in the Gaza Strip .",B-gpe O O O O O O O O O O B-geo O O O B-org O O O O O B-geo O O O O O O B-geo I-geo O
An Israeli official said Qatar created obstacles by closing Israel 's trade office in Doha .,O B-gpe O O B-org O O O O B-geo O O O O B-geo O
Qatar had been the only Gulf Arab state to have trade ties with Israel .,B-geo O O O O B-geo I-geo O O O O O O B-geo O
Thousands of voters in Indian Kashmir went to the polls Tuesday in the first municipal elections in 27 years .,O O O O B-geo I-geo O O O O B-tim O O O O O O B-tim O O
"The voters turned out in large numbers in some areas despite threats of attacks by rebel groups , and calls for a boycott of the vote by Muslim separatist politicians .",O O O O O O O O O O O O O O O O O O O O O O O O O O O B-org O O O
"Although no attacks were reported , there was sporadic violence .",O O O O O O O O O O O
"In Srinagar , anti-election demonstrators burnt tires and pelted riot police with stones .",O B-geo O O O O O O O O O O O O
The poll to chose town councils in Indian Kashmir is being held in four stages .,O O O O O O O B-gpe B-geo O O O O O O O
It started on January 29 and the last stage will be held on February 10 .,O O O B-tim I-tim O O O O O O O O B-tim I-tim O
Defense Minister General Raul Baduel said Monday in Caracas that Venezuela has made progress in the development of pilotless planes .,O O O B-per I-per O B-tim O B-gpe O B-gpe O O O O O O O O O O
Three candidates were killed by suspected Muslim separatists during the election campaign .,O O O O O O B-org O O O O O O
Iraqi police say a string of bomb attacks in Baghdad killed at least 27 people and wounded scores more Thursday .,B-gpe O O O O O O O O B-geo O O O O O O O O O B-tim O
"Police say a car bomb in eastern Baghdad killed at least five people , while seven died in another car bombing in a largely Shi'ite neighborhood in northwestern Baghdad .",O O O O O O O B-geo O O O O O O O O O O O O O O O O O O O O B-geo O
"Hours earlier , two bombs went off in an eastern part of the capital .",O O O O O O O O O O O O O O O
One bomb killed 13 people at a crowded market .,O O O O O O O O O O
The other bomb killed two people near a police patrol .,O O O O O O O O O O O
The explosions are the latest in the almost daily bomb blasts and other attacks in Baghdad and across Iraq .,O O O O O O O O O O O O O O O B-geo O O B-geo O
"On Wednesday , insurgents killed at least 10 people , including six police officers and a Sunni Arab cleric .",O B-tim O O O O O O O O O O O O O O B-geo I-geo O O
Afghan and U.S. officials say a clash between Taleban insurgents and Afghan soldiers backed by U.S. troops in southern Helmand province has left one American soldier and seven insurgents dead .,B-gpe O B-geo O O O O O B-org O O B-gpe O O O B-geo O O O B-geo O O O O B-gpe O O O O O O
A military statement says another U.S. service member and an Afghan soldier were wounded in Saturday 's fierce fighting in the province 's Sangin district .,O O O O O B-geo O O O O B-gpe O O O O B-tim O O O O O O O B-org O O
"On Friday , five soldiers were killed when dozens of militants stormed a military checkpoint in Orakzai .",O B-tim O O O O O O O O O O O O O O B-geo O
He also said that Venezuela will look to other countries for help in maintaining its aging U.S.-made F-5 fighter jets .,O O O O B-gpe O O O O O O O O O O O O O O O O
"The statement says fighting erupted after Afghan and U.S. troops backed by planes and helicopter gunships attacked enemy positions , dropping 11 bombs .",O O O O O O B-gpe O B-geo O O O O O O O O O O O O O O O
"Helmand province has been a hotbed of insurgent activity since U.S.-led forces ousted the hard-line Islamist Taleban rulers of Afghanistan in late 2001 , following the September 11th terrorist attacks in the United States .",B-geo O O O O O O O O O O O O O O B-org I-org O O B-geo O O B-tim O O O B-tim I-tim O O O O B-geo I-geo O
"Russia 's lower house of parliament , the Duma , has ratified treaties with the Georgian breakaway regions of South Ossetia and Abkhazia .",B-geo O O O O O O O B-geo O O O O O O B-gpe O O O B-geo I-geo O B-geo O
The widely-expected endorsements clear the way for Moscow to keep thousands of troops in the pro-Russian territories .,O O O O O O O B-geo O O O O O O O O O O
"Duma lawmakers voted unanimously Wednesday for the so-called friendship and mutual assistance treaties , which formalize economic , diplomatic and military ties .",B-geo O O O B-tim O O O O O O O O O O O O O O O O O O
"Moscow recognized the two regions as independent countries in August , shortly after Russian forces swept into Georgia to counter a Georgian military effort to reclaim South Ossetia by force .",B-geo O O O O O O O O B-tim O O O B-gpe O O O B-geo O O O B-gpe O O O O B-geo I-geo O O O
"The invasion drew strong condemnations from the West , where some governments threatened to respond with sanctions on Moscow .",O O O O O O O B-geo O O O O O O O O O O B-geo O
"Moscow says it will station 7,600 troops in the territories .",B-geo O O O O O O O O O O
"Earlier this week , Russian Foreign Minister Sergei Lavrov said Moscow opposes the deployment of European Union monitors in the region .",O O O O B-gpe O O B-per I-per O B-geo O O O O B-org I-org O O O O O
He said Russian forces will assume responsibility for security in the territories .,O O B-gpe O O O O O O O O O O
Venezuela has had trouble maintaining the planes since the United States began blocking arms sales to the South American country .,B-gpe O O O O O O O O B-gpe I-gpe O O O O O O B-org I-org O O
"Adult stem cell therapy has successfully treated leukemia and other cancers for years , in the form of bone marrow transplants .",O O O O O O O O O O O O O O O O O O O O O O
A new study in the Journal of the American Medical Association [ JAMA ] finds treatment with adult stem cells is also helping patients with autoimmune diseases and heart conditions .,O O O O O B-art O O B-org I-org I-org O B-org O O O O O O O O O O O O O O O O O O
VOA 's Alex Villarreal reports .,B-org O B-per I-per O O
"The party of Israeli Prime Minister Ariel Sharon votes Thursday , on forming a new coalition government to advance plans for an Israeli withdrawal from the Gaza Strip .",O O O B-gpe B-per I-per I-per I-per O B-tim O O O O O O O O O O O O B-gpe O O O B-geo I-geo O
"Mr. Sharon asked members to approve the union with the rival Labor Party , saying it will help the government gain enough votes to approve the pullout .",B-per I-per O O O O O O O O O B-geo I-geo O O O O O O O O O O O O O O O
"Meanwhile , Israeli military officials say troops killed five Palestinians in separate incidents overnight near the Gaza Strip 's border with Egypt .",O O B-gpe O O O O O O B-gpe O O O O O O B-geo I-geo O O O B-org O
"Israeli soldiers opened fire on a group of people moving in a forbidden area near Rafah , killing three of them .",B-gpe O O O O O O O O O O O O O O B-geo O O O O O O
Military officials say the troops suspected the men were arms smugglers or terrorists planning an attack .,O O O O O O O O O O O O O O O O O
Israeli forces also shot and killed one Palestinian and injured two others spotted in a separate area near the Gaza border .,B-gpe O O O O O O B-gpe O O O O O O O O O O O B-geo O O
One of those injured later died at a hospital .,O O O O O O O O O O
Iran 's foreign minister says nuclear talks remain stalled between his government and European negotiators .,B-geo O O O O O O O O O O O O O O O
A group led by terrorist Abu Musab al-Zarqawi has claimed responsibility for Monday 's assassination of Baghdad 's deputy police chief .,O O O O O B-org I-org B-per O O O O B-tim O O O B-geo O O O O O
"The group , calling itself the "" al-Qaida Organization of Holy War in Iraq , "" made the claim on an Islamist web site , just hours after gunmen shot down Brigadier Amer Nayef and his police officer son .",O O O O O O O B-org I-org I-org I-org I-org O B-geo O O O O O O O O O O O O O O O O O B-org I-org I-org O O O O O O
Iraqi officials say the two men were killed as they left their home in Baghdad 's southern Dora district .,B-gpe O O O O O O O O O O O O O B-geo O O B-geo O O
The assassination comes six days after insurgents gunned down Baghdad 's provincial governor and six of his bodyguards as they rode to work .,O O O O O O O O O B-geo O O O O O O O O O O O O O O
"Elsewhere in the capital , U.S. authorities say two U.S. soldiers were killed and four others wounded when their armored vehicle struck a roadside bomb .",O O O O O B-geo O O O B-geo O O O O O O O O O O O O O O O O
"Separately , authorities say a suicide car bomber rammed a car into a police station in southern Baghdad , killing at least three people .",O O O O O O O O O O O O O O O O O B-geo O O O O O O O
"U.N. Secretary-General Kofi Annan says Iraq 's forthcoming election marks the beginning of a new phase , in which responsible dialogue among Shi'ites , Sunni Arabs and Kurds will make the difference between success and failure in the war-torn country .",B-org I-org B-per I-per O B-geo O O O O O O O O O O O O O O O O B-org I-org I-org B-gpe B-org I-org O O O O O O O O O O O O O
"In a report to the Security Council Friday , Mr. Annan says increasing sectarian violence and ongoing human rights violations pose key challenges as voters prepare to go to the polls Thursday .",O O O O O B-org I-org B-tim O B-per I-per O O O O O O O O O O O O O O O O O O O O B-tim O
He says the most positive development in the past three months has been the determination of Sunni Arabs to get involved in the political process .,O O O O O O O O B-tim I-tim O O O O O O B-org B-gpe O O O O O O O O
"In the quarterly report on Iraq to the Security Council , Mr. Annan warns , however , the country remains beset with formidable security , political and economic challenges .",O O O O O B-geo O O B-org I-org O B-per I-per O O O O O O O O O O O O O O O O O
"Speaking to reporters Wednesday in Tehran , Kamal Kharrazi said Iran has always sought a short-term suspension of its uranium enrichment activities , but Britain , France and Germany are pressing for a permanent one .",O O O B-tim O B-geo O B-org I-org O B-org O O O O O O O O O O O O O B-gpe O B-gpe O B-gpe O O O O O O O
"Meanwhile , Sunni Arab clerics pleaded Friday for the lives of four Western hostages .",O O B-org I-org O O B-tim O O O O O B-org O O
Their kidnappers have said they will kill the men Saturday unless all Iraqi prisoners are freed .,O O O O O O O O O B-tim O O B-gpe O O O O
"Egyptian authorities say a construction company bus driver is in custody after he opened fire on a busload of workers , killing six and wounding others , near Cairo .",B-gpe O O O O O O O O O O O O O O O O O O O O O O O O O O O B-geo O
"Egyptian construction firm Arab Contractors says Mahmoud Sweilam , a 20-year veteran of the company , surrendered after the deadly rampage early Tuesday .",B-gpe O O B-org I-org O B-per I-per O O O O O O O O O O O O O O B-tim O
Authorities say Sweilam was driving more than 20 company employees to their work site when he suddenly stopped the bus and began shooting at them with an automatic rifle .,O O B-per O O O O O O O O O O O O O O O O O O O O O O O O O O O
Police are still investigating a motive for the attack .,O O O O O O O O O O
"U.S. private employers added 71,000 jobs in July , indicating the U.S. labor market and the economy at large are slow to recover from recession .",B-geo O O O O O O B-tim O O O B-geo O O O O O O O O O O O O O O
A report Friday from the Labor Department shows the unemployment rate stayed unchanged at 9.5 percent .,O O B-tim O O B-org I-org O O O O O O O O O O
"Economists closely watch the private payrolls figure , because private companies do the bulk of hiring in the United States .",O O O O O O O O O O O O O O O O O O B-geo I-geo O
"Employment is also a big indicator of consumer spending , as those who are unemployed or worried about job stability tend to spend less .",O O O O O O O O O O O O O O O O O O O O O O O O O
"Iran has suspended its enrichment activities as a good faith gesture during negotiations , but said it will decide in three months whether to continue the suspension .",B-gpe O O O O O O O O O O O O O O O O O O O B-tim O O O O O O O
"The country lost jobs overall in July , due in large part to cuts at the U.S. Census Bureau .",O O O O O O B-tim O O O O O O O O O B-org I-org I-org O
"The government agency cut about 1,44,000 temporary employees who were hired for only a couple of months to conduct the once-a-decade population count .",O O O O O O O O O O O O O O O O O O O O O O O O
Venezuela 's president has invited Haiti to join a program offering inexpensive oil to Caribbean nations .,B-geo O O O O B-geo O O O O O O O O B-geo O O
The offer came during a visit Monday to Caracas by Haiti 's President-Elect Rene Preval .,O O O O O O B-tim O B-geo O B-geo O O B-per I-per O
Mr. Preval met with Venezuelan president Hugo Chavez .,B-per I-per O O B-gpe O B-per I-per O
They discussed Haiti 's inclusion in Venezuela 's Petrocaribe program which offers generous payment options to Caribbean countries for the purchase of Venezuelan oil .,O O B-geo O O O B-geo O B-geo O O O O O O O B-geo O O O O O B-gpe O O
"During the meeting , Mr. Chavez said Venezuela would also donate diesel fuel for use by schools and hospitals in Haiti .",O O O O B-per I-per O B-geo O O O O O O O O O O O O B-geo O
Mr. Preval was elected in February following a campaign of promises to improve social conditions and education for Haitians .,B-per I-per O O O B-tim O O O O O O O O O O O O B-gpe O
He will be inaugurated on May 14 .,O O O O O B-tim I-tim O
Police in Nepal armed with batons dispersed a protest Tuesday by Tibetan refugees and monks in front of the Chinese Embassy .,O O B-gpe O O O O O O B-tim O B-gpe O O O O O O O B-gpe O O
Highly enriched uranium can be used to make fuel for nuclear weapons .,O O O O O O O O O O O O O
About 100 protesters in Kathmandu were loaded into trucks and vans and sent to detention centers .,O O O O B-geo O O O O O O O O O O O O
"There have been almost daily demonstrations in Nepal against China since March 10 , when protests began in Tibet 's capital , Lhasa .",O O O O O O O B-gpe O B-geo B-tim I-tim I-tim O O O O O B-geo O O O B-geo O
At least 400 protesters were detained in Nepal Monday .,O O O O O O O B-gpe B-tim O
The U.N. human rights office in Nepal has said it is deeply concerned at the arbitrary arrests and detentions .,O B-org O O O O B-gpe O O O O O O O O O O O O O
Nepal 's border with China in the Himalayas is a key route for Tibetans fleeing Chinese rule in the region .,B-gpe O O O B-geo O O B-geo O O O O O B-gpe O B-gpe O O O O O
Iraqi police say a car bomb has killed at least 21 people at a Baghdad market .,B-gpe O O O O O O O O O O O O O B-geo O O
They say 25 others were wounded in the blast in a mostly Shi'ite Muslim part of Dora - a neighborhood in southern Baghdad .,O O O O O O O O O O O O O O O O B-geo O O O O B-geo I-geo O
"Elsewhere in the capital Tuesday , a roadside bomb killed an Iraqi policeman , but an Iraqi Cabinet minister , Suhaila Abed Jaafar , minister of displacement and migration escaped unhurt from another bomb blast .",O O O O B-tim O O O O O O B-gpe O O O O B-gpe O O O B-per I-per I-per O O O O O O O O O O O O O
The attacks came as Britain 's Foreign Secretary Jack Straw met in Baghdad with President Jalal Talabani about the slow progress in forming a new Iraqi government .,O O O O B-geo O O O B-per I-per O O B-geo O B-per I-per I-per O O O O O O O O B-gpe O O
Straw stressed the government should not be dominated by one religious group .,B-per O O O O O O O O O O O O
"The head of Iran 's Atomic Energy Organization , Gholamreza Aghazadeh , called on the Europeans to speed up the talks .",O O O B-org O B-org I-org I-org O B-per I-per O O O O B-gpe O O O O O O
But Iraq 's Prime Minister Ibrahim al-Jaafari said choosing a government is an internal affair .,O B-geo O B-per O B-per I-per O O O O O O O O O
"Meanwhile , Jordanian officials have announced the release of a Jordanian embassy driver who had been held hostage in Iraq since December .",O O O O O O O O O O O O O O O O O O O B-geo B-tim I-tim O
Two important new studies show tightly managing blood sugar helps diabetics avoid many of the complications of the disease including kidney problems and heart disease .,O O O O O O O O O O O O O O O O O O O O O O O B-nat I-nat O
One study focused on Type Two diabetes .,O O O O B-nat I-nat I-nat O
"The other , funded by the Juvenile Diabetes Foundation , gives hope to those with Type One .",O O O O O O B-org I-org I-org O O O O O O B-nat I-nat O
VOA 's Carol Pearson reports .,B-org O B-per I-per O O
"Forensic experts in eastern Bosnia-Herzegovina have begun exhuming a mass grave believed to contain the bodies of 36 Muslims , including women and children , killed during the Balkan conflict .",O O O O B-geo O O O O O O O O O O O O O O O O O O O O O O O O O O
"Eyewitnesses say Bosnian Serb forces killed the victims then took the bodies to a garage in the village of Snagovo , near Zvornik , and set the building on fire .",O O B-gpe I-gpe O O O O O O O O O O O O O O O B-geo O O B-geo O O O O O O O O
The corpses were later buried in a mass grave .,O O O O O O O O O O
"Bosnian authorities have already exhumed two other mass graves in the village , finding about 300 skeletons .",B-gpe O O O O O O O O O O O O O O O O O
"In remarks today , he expressed hope the negotiations would protect Iran 's scientific achievements , which he says the Islamic Republic will never give up .",O O B-tim O O O O O O O O B-org O O O O O O O O B-geo I-geo O O O O O
"They are believed to be the remains of some of the 8,000 Muslim men and boys massacred after Serb forces captured the enclave of Srebrenica in 1995 .",O O O O O O O O O O O O O O O O O O B-gpe O O O O O B-geo O B-tim O
Iranian news media report that armed bandits have taken 30 people hostage in the southeast of the country .,B-gpe O O O O O O O O O O O O O O O O O O
The reports say the bandits blocked a road and opened fire on vehicles before abducting the victims Sunday .,O O O O O O O O O O O O O O O O O B-tim O
The incident took place in Sistan-Baluchestan .,O O O O O B-geo O
Few other details were immediately available .,O O O O O O O
"Thousands of motorcycle riders are in Washington for a parade known as "" Rolling Thunder , "" which comes a day before the Memorial Day holiday honoring U.S. military personnel killed in battle .",O O O O O O B-geo O O O O O O B-per I-per O O O O O B-tim I-tim O B-eve I-eve O O B-geo O O O O O O
The bikers are visiting the Vietnam Veterans memorial Sunday and are then gathering at the Lincoln memorial where there will be speakers .,O O O O O B-org O O B-tim O O O O O O B-geo O O O O O O O
"A musical tribute to Veterans also is to be held today , which will include pop group Paul Revere and The Raiders and singer Nancy Sinatra .",O O O O O O O O O O B-tim O O O O O O B-per I-per O B-org I-org O O B-per I-per O
"The "" Rolling Thunder "" event specifically honors missing U.S. soldiers and prisoners of war .",O O B-eve I-eve O O O O O B-geo O O O O O O
"Top-seeded Lleyton Hewitt of Australia and number-two Dominik Hrbaty of Slovakia have advanced to the second round of the International men 's hardcourt tennis championships in Adelaide , Australia .",O B-per I-per O B-geo O O B-per I-per O B-geo O O O O O O O O O O O O O O O B-geo O B-geo O
"President Bush has declared a state of emergency for the Gulf Coast state of Louisiana , as it braces for the expected onslaught of Hurricane Katrina , set to make landfall on Monday .",B-per I-per O O O O O O O O B-geo I-geo O O B-geo O O O O O O O O O B-nat I-nat O O O O O O B-tim O
"Hewitt dropped the opening set Tuesday before bouncing back to beat Jan Hernych of the Czech Republic , 04-Jun , 06-Feb , 06-Apr .",B-per O O O O B-tim O O O O O B-per I-per O O B-gpe B-geo O O O O O O O
"The second-seeded Hrbaty had an easier time , topping Rameez Junaid of Australia , 06-Mar , 07-May .",O O B-per O O O O O O B-per I-per O B-geo O B-geo O B-geo O
"In other matches involving seeded players , number-five James Blake of the United States defeated Alberto Martin of Spain , 06-Mar , 06-Mar .",O O O O O O O O B-per I-per O O B-geo I-geo O B-per I-per O B-geo O B-geo O B-geo O
"But eighth-seeded Juan Ignacio Chela of Argentina was upset , losing to Ivo Karlovic of Croatia , 06-Mar , 03-Jun , 06-Jan .",O O B-per I-per I-per O B-geo O O O O O B-per I-per O B-geo O B-geo O B-geo O B-geo O
"Unseeded players advancing included Australia 's Mark Philippoussis , Florian Mayer of Germany , Britain 's Andy Murray , Andreas Seppi of Italy , Frenchman Florent Serra , Jarkko Nieminen of Finland and Danish player Kenneth Carlsen .",O O O O B-geo O B-per I-per O B-per I-per O B-geo O B-geo O B-per I-per O B-per I-per O B-geo O B-gpe B-org I-org O B-per I-per O B-gpe O B-gpe O B-per I-per O
"The global human rights organization , Amnesty International says that HIV and AIDS are devastating poor women and children in South Africa .",O O O O O O B-org I-org O O B-nat O B-nat O O O O O O O B-geo I-geo O
"In a report released in London , Amnesty says that poverty , gender inequality and unemployment remain major contributing factors .",O O O O O B-geo O B-org O O O O O O O O O O O O O
"Pop Singer Annie Lennox is highlighting the issue with her new charity tune called "" Sing . """,O O B-per I-per O O O O O O O O O O O O O O
"On a recent trip to Africa , she says she learned how the disease affects women -- especially pregnant mothers and their unborn children -- much more than it does men .",O O O O O B-geo O O O O O O O O O O O O O O O O O O O O O O O O O O
VOA 's Mandy Clark reports .,B-org O B-per I-per O O
Saturday 's emergency declaration authorizes federal officials to coordinate all disaster relief efforts and provide appropriate assistance in several Louisiana parishes .,B-tim O O O O O O O O O O O O O O O O O O B-geo O O
Police have made a drug raid on athletes for the first time in the history of the Olympic games .,O O O O O O O O O O O O O O O O O O O O
Italian authorities late Saturday and early Sunday morning seized materials in a surprise sweep through the living quarters of the Austrian biathlon and cross country teams .,B-gpe O O B-tim O O B-tim I-tim O O O O O O O O O O O O B-gpe O O O O O O
"While Italian police searched the residences , the International Olympic Committee conducted unannounced , out-of-competition drug tests on at least six Austrian cross-country skiers and four biathletes .",O B-gpe O O O O O O B-org O B-org O O O O O O O O O O B-gpe O O O O O O
"The involvement of Italian police is consistent with the country 's anti-doping laws , which treat doping as a criminal offense .",O O O B-gpe O O O O O O O O O O O O O O O O O O
The probe began when the World Anti-Doping Agency discovered blood-doping equipment in Austria connected to Walter Mayer .,O O O O O B-org I-org I-org O O O O B-geo O O B-per I-per O
He was banned by the IOC from the Turin Olympics and the 2010 Vancouver Games for suspicion of performing blood transfusions at the 2002 Salt Lake City Games .,O O O O O B-org O O B-org I-org O O O O O O O O O O O O O B-tim O B-geo I-geo O O
But Mayer remains the head coach of both the Austrian cross country and the biathlon teams .,O B-per O O O O O O O B-gpe O O O O O O O
