origional tweet,user
RT @oryxspioenkop: List Of Aircraft Losses During The 2022 Russian Invasion Of #Ukraine 🇷🇺🇺🇦  #Russia is now visually confirmed to have los…,🇻🇪 Zue Dawzen 🇻🇪
RT @ekekobbi: Ukrainian soldiers finally get to meet their families in previously occupied #Kherson.   #thefallofputin  #Ukraine #getputin…,POLAGOra
"RT @KramarenkoMari3: #Lavrov with #Iphone #iwatch and wearing merch of Jean-Michel Basquiat, an American artist. Poor guy, still wants to l…",Aran
"RT @rommari: Quite proud of this show. Take a look. ""Does #Russia steal art from #Ukraine?"" ft. two representatives of #Kherson museums.  h…",Caro 📚🇪🇺🇺🇦
"I am on this list--in good company---sanctioned by #Russia for my research on the Kremlin's atrocities in #Ukraine, past and present.   Will continue my analysis without fear or favor. As I suppose this article contributed to my ban, here it is again. https://t.co/KXY53vMaUt https://t.co/wAGWgv7jAL",Kristina Hook
"RT @EuromaidanPR: Meanwhile in #Russia. Belgorod, burning tanks with diesel fuel. According to other sources, the substation is on fire. ht…",Wojo2427
RT @NATOpress: 🆕📹#NATO Secretary General @jensstoltenberg: #Russia’s withdrawal from #Kherson shows the courage of #Ukraine’s forces and th…,may
"#Russia Soldiers, cowards #Putin Don't obey! Throw away your weapons and go home! And eat a hot dinner with the whole family. Stay close to your family and lover who are worried about you. The protagonists of Russia are you and your family. Not putin #Ukraine #NoWar #StopWar https://t.co/ZTRbaE5k6p",キッチン大好き。
"RT @ScottLucas_EA: #Zambia asking #Russia how a Zambian citizen, serving a prison sentence in Moscow, was killed on a battlefield in #Ukrai…",Alastair
"RT @abdbozkurt: #Erdogan's propagandists are quick to point fingers to the US on today's deadly bombing attack in Istanbul, saying both PKK…",Bekir Terlik
I’m here agn! #SaintPetersburg #Russia https://t.co/bc617xWUmj,stellasevas
RT @kiraincongress: The #US will apply sanctions against 42 individuals and companies that help #russia buy weapons. Every ally of the dict…,Jukka P.Seppälä 💛💙🇫🇮🇪🇺 #standwithUkraine
RT @Blue_Sauron: The Ukrainian 57th Motorized Brigade released footage showing high-precision artillery strikes against Russian army equipm…,Woon Cing Hsian 🇸🇬🇺🇦
RT @TWMCLtd: #RussiaOnFire  Just over the border into #Russia there is burning in #Belgorod'  Head of the region Vyacheslav Glatkov has jus…,Artem Sudak
"RT @timand2037: Memories: #Kiev locals welcome #Nazi troops from #Germany, September 26, 1941. They thought they were invincible but faced…",Nikolaos 🇬🇷✝️NO DM⛔
🇷🇺 Putin signed a decree allowing citizens of other states to serve in the RF Armed Forces.  #Russia https://t.co/GbRtZ8hQEG,George A. Hamalian
RT @NTenzer: My latest in @DeskRussie_en where I ask disturbing questions about the relatively weak reaction of part of the Russian opposit…,Rebus Sic Stantibus
"RT @fmod1: BREAKING NEWS:  This is happening right now in #Highgate, London, where this roundabout has been renamed this morning in honour…",Lúcia Stedile 🇧🇷🇺🇦
RT @NATOpress: 🆕📹#NATO Secretary General @jensstoltenberg: #Russia’s withdrawal from #Kherson shows the courage of #Ukraine’s forces and th…,Y
"RT @nexta_tv: Demand for bunkers has increased in #Russia, reports #Russian media. What might be the reason? 🤔 https://t.co/Ji34xDu9un",Graham
Russia destroys Ukrainian tanks and weapons with kamikaze drones #Russia #Ukraine #UnitedStates #Kyiv #UkraineWar #kherson https://t.co/1fklAl8iwU,news poster
"RT @TheStudyofWar: A cessation or prolonged slowing of combat operations in #Ukraine over the next few months is very unlikely, and any att…",Elements Matter
RT @claytoonz: It was a tough week for Russia and useful idiots. #RedWave #RedWaveFail #Kherson #KhersonLiberated #Midterms2022 #Russia #Pu…,Richard May
"#Russia-Ukraine War: #Zelenskiy visits newly #liberated city of #Kherson in #Ukraine, (Selfie session with Ukrainian Solders). https://t.co/5Dpqlvw0O3",Gopal Sengupta
RT @BrianJBerletic: Russian Ops in #Ukraine: What is the Goal &amp; is Moscow Achieving it?  In order to analyze whether or not #Russia is succ…,Amsterdam independent
"RT @Faytuks: The preconditions for talks on Ukraine, including the withdrawal of Russian troops, are unacceptable to Moscow - #Russia's dep…",SHIBA INUVERSAL - STRONG TOGETHER
The only way Charlie knows how to deal with his dread is to take action for the sake of justice. #spy #spies #espionage #CIA #KGB #mystery #treason #Ukraine #Russia #conspiracy #exposed #waterrights  #Noirvember  #assassination #murder #political #thriller #Putin @thenoirzone #RT https://t.co/z0JZrXOTlY,Dan Coplan
RT @raging545: Ukraine may have captured the Kinburn Spit and the Kinburn peninsula #Ukraine #russia #Putin #ukrainewar #RussiaIsATerrorist…,James Lewis
White House Hails Ukraine’s ‘Extraordinary Victory’ In Kherson DETAILS 👇☛ https://t.co/t1CVgDad1B  Please follow us &amp; retweet #Foreign #Kherson #news #Russia #Ukraine #bobojay #bobojaytv https://t.co/wUhzxRDYlm,Bobojay TV
"RT @LukaszukAB: Yes! I finally made it onto Russia’s sanction list! No vacation in Moscow for me, but Ukrainian Odessa is always nice to vi…",Axel Maus
"RT @AliBakeer: 🇮🇷🇦🇲🇷🇺💥🇺🇦 #NEW  #Armenia offered a back door for #Iran's sanctioned jets to carry #drones to #Russia 2b used vs #Ukraine, an…",Farid XY
RT @ihopetowin: @_Peace_Love_US To stop funding the #Ukraine would be a betrayal of them and the free world. The Ukraine has been defending…,carrie
RT @Tendar: Putin refuses to go to the G20 Putin refuses to visit Russian troops at the front Putin refuses to visit newly annexed territor…,GJ
RT @Daily_Express: #Putin shamed as US official warns #China is 'embarrassed' by Russia's military operations #Russia #RussianArmy #Ukraine…,What Now
RT @kamaalrkhan: I salute @ZelenskyyUa who is fighting like a real warrior from the very first day of #RussiaUkraineWar! America asked him…,Dinesh Kumar
